Probit,%
0,0
0.267,0.1
0.534,0.2
0.801,0.3
1.068,0.4
1.335,0.5
1.602,0.6
1.869,0.7
2.136,0.8
2.403,0.9
2.670,1
2.698,1.1
2.726,1.2
2.754,1.3
2.782,1.4
2.810,1.5
2.838,1.6
2.866,1.7
2.894,1.8
2.922,1.9
2.950,2
2.967,2.1
2.984,2.2
3.001,2.3
3.018,2.4
3.035,2.5
3.052,2.6
3.069,2.7
3.086,2.8
3.103,2.9
3.120,3
3.133,3.1
3.146,3.2
3.159,3.3
3.172,3.4
3.185,3.5
3.198,3.6
3.211,3.7
3.224,3.8
3.237,3.9
3.250,4
3.261,4.1
3.272,4.2
3.283,4.3
3.294,4.4
3.305,4.5
3.316,4.6
3.327,4.7
3.338,4.8
3.349,4.9
3.360,5
3.369,5.1
3.378,5.2
3.387,5.3
3.396,5.4
3.405,5.5
3.414,5.6
3.423,5.7
3.432,5.8
3.441,5.9
3.450,6
3.457,6.1
3.464,6.2
3.471,6.3
3.478,6.4
3.485,6.5
3.492,6.6
3.499,6.7
3.506,6.8
3.513,6.9
3.520,7
3.527,7.1
3.534,7.2
3.541,7.3
3.548,7.4
3.555,7.5
3.562,7.6
3.569,7.7
3.576,7.8
3.583,7.9
3.590,8
3.597,8.1
3.604,8.2
3.611,8.3
3.618,8.4
3.625,8.5
3.632,8.6
3.639,8.7
3.646,8.8
3.653,8.9
3.660,9
3.666,9.1
3.672,9.2
3.678,9.3
3.684,9.4
3.690,9.5
3.696,9.6
3.702,9.7
3.708,9.8
3.714,9.9
3.720,10
3.725,10.1
3.730,10.2
3.735,10.3
3.740,10.4
3.745,10.5
3.750,10.6
3.755,10.7
3.760,10.8
3.765,10.9
3.770,11
3.775,11.1
3.780,11.2
3.785,11.3
3.790,11.4
3.795,11.5
3.800,11.6
3.805,11.7
3.810,11.8
3.815,11.9
3.820,12
3.825,12.1
3.830,12.2
3.835,12.3
3.840,12.4
3.845,12.5
3.850,12.6
3.855,12.7
3.860,12.8
3.865,12.9
3.870,13
3.875,13.1
3.880,13.2
3.885,13.3
3.890,13.4
3.895,13.5
3.900,13.6
3.905,13.7
3.910,13.8
3.915,13.9
3.920,14
3.924,14.1
3.928,14.2
3.932,14.3
3.936,14.4
3.940,14.5
3.944,14.6
3.948,14.7
3.952,14.8
3.956,14.9
3.960,15
3.965,15.1
3.970,15.2
3.975,15.3
3.980,15.4
3.985,15.5
3.990,15.6
3.995,15.7
4.000,15.8
4.005,15.9
4.010,16
4.014,16.1
4.018,16.2
4.022,16.3
4.026,16.4
4.030,16.5
4.034,16.6
4.038,16.7
4.042,16.8
4.046,16.9
4.050,17
4.053,17.1
4.056,17.2
4.059,17.3
4.062,17.4
4.065,17.5
4.068,17.6
4.071,17.7
4.074,17.8
4.077,17.9
4.080,18
4.084,18.1
4.088,18.2
4.092,18.3
4.096,18.4
4.100,18.5
4.104,18.6
4.108,18.7
4.112,18.8
4.116,18.9
4.120,19
4.124,19.1
4.128,19.2
4.132,19.3
4.136,19.4
4.140,19.5
4.144,19.6
4.148,19.7
4.152,19.8
4.156,19.9
4.160,20
4.163,20.1
4.166,20.2
4.169,20.3
4.172,20.4
4.175,20.5
4.178,20.6
4.181,20.7
4.184,20.8
4.187,20.9
4.190,21
4.194,21.1
4.198,21.2
4.202,21.3
4.206,21.4
4.210,21.5
4.214,21.6
4.218,21.7
4.222,21.8
4.226,21.9
4.230,22
4.233,22.1
4.236,22.2
4.239,22.3
4.242,22.4
4.245,22.5
4.248,22.6
4.251,22.7
4.254,22.8
4.257,22.9
4.260,23
4.263,23.1
4.266,23.2
4.269,23.3
4.272,23.4
4.275,23.5
4.278,23.6
4.281,23.7
4.284,23.8
4.287,23.9
4.290,24
4.294,24.1
4.298,24.2
4.302,24.3
4.306,24.4
4.310,24.5
4.314,24.6
4.318,24.7
4.322,24.8
4.326,24.9
4.330,25
4.333,25.1
4.336,25.2
4.339,25.3
4.342,25.4
4.345,25.5
4.348,25.6
4.351,25.7
4.354,25.8
4.357,25.9
4.360,26
4.363,26.1
4.366,26.2
4.369,26.3
4.372,26.4
4.375,26.5
4.378,26.6
4.381,26.7
4.384,26.8
4.387,26.9
4.390,27
4.393,27.1
4.396,27.2
4.399,27.3
4.402,27.4
4.405,27.5
4.408,27.6
4.411,27.7
4.414,27.8
4.417,27.9
4.420,28
4.423,28.1
4.426,28.2
4.429,28.3
4.432,28.4
4.435,28.5
4.438,28.6
4.441,28.7
4.444,28.8
4.447,28.9
4.450,29
4.453,29.1
4.456,29.2
4.459,29.3
4.462,29.4
4.465,29.5
4.468,29.6
4.471,29.7
4.474,29.8
4.477,29.9
4.480,30
4.482,30.1
4.484,30.2
4.486,30.3
4.488,30.4
4.490,30.5
4.492,30.6
4.494,30.7
4.496,30.8
4.498,30.9
4.500,31
4.503,31.1
4.506,31.2
4.509,31.3
4.512,31.4
4.515,31.5
4.518,31.6
4.521,31.7
4.524,31.8
4.527,31.9
4.530,32
4.533,32.1
4.536,32.2
4.539,32.3
4.542,32.4
4.545,32.5
4.548,32.6
4.551,32.7
4.554,32.8
4.557,32.9
4.560,33
4.563,33.1
4.566,33.2
4.569,33.3
4.572,33.4
4.575,33.5
4.578,33.6
4.581,33.7
4.584,33.8
4.587,33.9
4.590,34
4.592,34.1
4.594,34.2
4.596,34.3
4.598,34.4
4.600,34.5
4.602,34.6
4.604,34.7
4.606,34.8
4.608,34.9
4.610,35
4.613,35.1
4.616,35.2
4.619,35.3
4.622,35.4
4.625,35.5
4.628,35.6
4.631,35.7
4.634,35.8
4.637,35.9
4.640,36
